Date,US Debt Outstanding Amount,US GDP,US Debt as GDP percentage,US GDP per Capita,US GDP annual Growth
1963-06-30,305859632996,638600000000,48,3375,4
1964-06-30,311712899257,685800000000,45,3574,6
1965-06-30,317273898984,743700000000,43,3828,6
1966-06-30,319907087795,815000000000,39,4146,7
1967-06-30,326220937795,861700000000,38,4336,3
1968-06-30,347578406426,942500000000,37,4696,5
1969-06-30,353720253841,1019900000000,35,5032,3
1970-06-30,370918706950,1073303000000,35,5234,0
1971-06-30,398129744456,1164850000000,34,5609,3
1972-06-30,427260460941,1279110000000,33,6094,5
1973-06-30,458141605312,1425376000000,32,6726,6
1974-06-30,475059815732,1545243000000,31,7226,-1
1975-06-30,533189000000,1684904000000,32,7801,0
1976-06-30,620433000000,1873412000000,33,8592,5
1977-09-30,698840000000,2081826000000,34,9453,5
1978-09-30,771544000000,2351599000000,33,10565,6
1979-09-30,826519000000,2627333000000,31,11674,3
1980-09-30,907701000000,2857307000000,32,12575,0
1981-09-30,997855000000,3207041000000,31,13976,3
1982-09-30,1142034000000,3343789000000,34,14434,-2
1983-09-30,1377210000000,3634038000000,38,15544,5
1984-09-30,1572266000000,4037613000000,39,17121,7
1985-09-30,1823103000000,4338979000000,42,18237,4
1986-09-30,2125302616658,4579631000000,46,19071,3
1987-09-30,2350276890953,4855215000000,48,20039,3
1988-09-30,2602337712041,5236438000000,50,21417,4
1989-09-29,2857430960187,5641580000000,51,22857,4
1990-09-28,3233313451777,5963144000000,54,23889,2
1991-09-30,3665303351697,6158129000000,60,24342,0
1992-09-30,4064620655522,6520327000000,62,25419,4
1993-09-30,4411488883139,6858559000000,64,26387,3
1994-09-30,4692749910013,7287236000000,64,27695,4
1995-09-29,4973982900709,7639749000000,65,28691,3
1996-09-30,5224810939136,8073122000000,65,29968,4
1997-09-30,5413146011397,8577554457000,63,31459,4
1998-09-30,5526193008898,9062818202000,61,32854,4
1999-09-30,5656270901615,9631174489000,59,34515,5
2000-09-30,5674178209887,10250947997000,55,36330,4
2001-09-30,5807463412200,10581929774000,55,37134,1
2002-09-30,6228235965597,10929112955000,57,37998,2
2003-09-30,6783231062744,11456442041000,59,39490,3
2004-09-30,7379052696330,12217193198000,60,41725,4
2005-09-30,7932709661724,13039199193000,61,44123,3
2006-09-30,8506973899215,13815586948000,62,46302,3
2007-09-30,9007653372262,14474226905000,62,48050,2
2008-09-30,10024724896912,14769857911000,68,48570,0
2009-09-30,11909829003512,14478064934000,82,47195,-3
2010-09-30,13561623030892,15048964444000,90,48651,3
2011-09-30,14790340328557,15599728123000,95,50066,2
2012-09-30,16066241407386,16253972230000,99,51784,2
2013-09-30,16738183526697,16843190993000,99,53291,2
2014-09-30,17824071380734,17550680174000,102,55124,2
2015-09-30,18150617666484,18206020741000,100,56763,3
2016-09-30,19573444713937,18695110842000,105,57867,2
2017-09-30,20244900016054,19479620056000,104,59915,2
2018-09-30,21516058183180,20527156026000,105,62805,3
2019-09-30,22719401753434,21372572437000,106,65095,2
2020-09-30,26945391194615,20893743833000,129,63028,-3
2021-09-30,28428918570049,22996100000000,124,69288,6
